Column1,df_apt_idx,BLDID_ID,PNU,LA,LO,법정동,주번_부,cust_each_,아파트�,빌라(0),빌라(1),NUMPOINTS,age,cell_count,possible_chr_count,chr_count,sale,household,parking_space,point_count2
"79","96","6932",4146130000000000000.000000000000000,37.332297420000003,127.249925099999999,경기도 용인시 처인구 모현읍 왕산리,"4640002",3650.041999999999916,풍산햇빛마을,,,536.501999999999953,28.0562941399059,3,5,0,3.2,330,330,1
"96","123","70916",4146130000000000000.000000000000000,37.340445740000000,127.175478299999995,경기도 용인시 처인구 모현읍 능원리,"1800007",14.268000000000001,n-클래식,,,0.000000000000000,0,0,0,0,0,0,0,0
"103","141","7269",4146130000000000000.000000000000000,37.192199879999997,127.204380700000002,경기도 용인시 처인구 이동읍 천리,"11190000",311.355999999999995,샘골마을풍성신미주아파트1단지,,,4476.335000000000946,115.116506167829,14,15,5,3.2,800,804,1
"104","142","7272",4146130000000000000.000000000000000,37.189154670000001,127.205133599999996,경기도 용인시 처인구 이동읍 천리,"11240000",16.373000000000001,샘골마을풍성신미주아파트2단지,,,173.173000000000002,18.0920496669168,2,3,0,2.55,234,241,1
"105","143","14528",4146130000000000000.000000000000000,37.200371339999997,127.207606400000003,경기도 용인시 처인구 이동읍 천리,"11340000",1267.025000000000091,한천마을 금광베네스타아파트,,,990.043000000000006,44.964796522784,5,9,1,3,460,502,1
"106","144","18652",4146130000000000000.000000000000000,37.201550840000003,127.207487099999994,경기도 용인시 처인구 이동읍 천리,"11420000",2141.364999999999782,에이스카운티아파트,,,2067.439000000000306,49.6005121055043,6,8,2,3.35,430,478,1
"110","148","8901",4146130000000000000.000000000000000,37.138014460000001,127.201217799999995,경기도 용인시 처인구 이동읍 송전리,"12270000",73.358000000000004,송전마을 세광엔리치타워,,,214.485000000000014,75.6010115146378,9,18,10,3,782,997,1
"116","155","11072",4146130000000000000.000000000000000,37.187554570000003,127.217929699999999,경기도 용인시 처인구 이동읍 천리,"560004",104.287000000000006,라이프타워아파트,,,60.832999999999998,10.6865352686864,1,0,0,0,0,0,0
"117","157","30954",4146130000000000000.000000000000000,37.188339130000003,127.216691299999994,경기도 용인시 처인구 이동읍 천리,"920005",87.483999999999995,이화아파트,,,83.480000000000004,9.9632127455678,1,0,0,0,0,0,0
"124","166","63897",4146130000000000000.000000000000000,37.202461710000001,127.321522200000004,경기도 용인시 처인구 원삼면 좌항리,"1060042",7.044000000000000,영구아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"128","171","32694",4146140000000000000.000000000000000,37.163932869999996,127.369030199999997,경기도 용인시 처인구 백암면 근창리,"10830000",33.792999999999999,청와아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"129","173","63900",4146140000000000000.000000000000000,37.236240049999999,127.284978199999998,경기도 용인시 처인구 양지면 양지리,"4620002",16.841999999999999,대성2차아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"130","174","49499",4146140000000000000.000000000000000,37.235328000000003,127.283833200000004,경기도 용인시 처인구 양지면 양지리,"5940003",200.863000000000000,양지아파트,,,8.974000000000000,11.5103632716737,1,0,0,0,0,0,0
"131","175","51991",4146140000000000000.000000000000000,37.235441600000001,127.285626300000004,경기도 용인시 처인구 양지면 양지리,"4650001",304.514000000000010,대성아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"132","176","33543",4146140000000000000.000000000000000,37.236596759999998,127.271564499999997,경기도 용인시 처인구 양지면 양지리,"7470008",30.757999999999999,그린빌리지,,,30.757999999999999,11,1,0,0,0,0,0,0
"133","177","14121",4146140000000000000.000000000000000,37.235062360000001,127.285241299999996,경기도 용인시 처인구 양지면 양지리,"9070000",80.114000000000004,양지마을 신원아침도시,,,72.338000000000022,32.7311732247358,4,2,0,3.5,156,160,1
"144","191","29041",4146110000000000000.000000000000000,37.239674409999999,127.203720300000001,경기도 용인시 처인구 김량장동,"1930000",39.649999999999999,라이프미성아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"145","193","63830",4146110000000000000.000000000000000,37.239671999999999,127.203229300000004,경기도 용인시 처인구 김량장동,"1940012",39.649999999999999,수성아파트,,,39.649999999999999,11.5170239596469,1,0,0,0,0,0,0
"146","194","63830",4146110000000000000.000000000000000,37.239734460000001,127.203034500000001,경기도 용인시 처인구 김량장동,"1990001",39.649999999999999,수정빌라,공동주택,,0.000000000000000,0,0,0,0,0,0,0,0
"147","195","15182",4146110000000000000.000000000000000,37.235110249999998,127.201107199999996,경기도 용인시 처인구 김량장동,"2540158",46.406999999999996,유메이드,,,46.406999999999996,4.74568491822354,1,1,0,8.5,299,149,1
"148","196","29039",4146110000000000000.000000000000000,37.235846570000000,127.204484500000007,경기도 용인시 처인구 김량장동,"2540051",21.414000000000001,골드빌아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"151","199","63831",4146110000000000000.000000000000000,37.235206810000001,127.196985600000005,경기도 용인시 처인구 김량장동,"2930006",13.724000000000000,동산5차아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"152","200","63833",4146110000000000000.000000000000000,37.234586860000000,127.204473699999994,경기도 용인시 처인구 김량장동,"2960035",11.372000000000000,창성빌리지,,,8.098000000000003,11,1,0,0,0,0,0,0
"154","203","25165",4146110000000000000.000000000000000,37.235545819999999,127.198734099999996,경기도 용인시 처인구 김량장동,"3210000",82.799000000000007,삼보라이프,,,82.799000000000007,10.3383978067368,1,0,0,0,0,0,0
"156","205","63837",4146110000000000000.000000000000000,37.234263489999996,127.198338600000000,경기도 용인시 처인구 김량장동,"3280005",911.344000000000051,진흥아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"157","206","41283",4146110000000000000.000000000000000,37.233925480000003,127.198211200000003,경기도 용인시 처인구 김량장동,"3290002",1425.888999999999896,스위트홈아파트,,,964.936000000000035,8.74335925841394,1,1,0,1.85,168,134,1
"161","211","38058",4146110000000000000.000000000000000,37.233650230000002,127.200943899999999,경기도 용인시 처인구 김량장동,"3380000",1242.496000000000095,조양유통상가아파트,,,1242.496000000000095,13.9934003811682,1,0,0,0,0,0,0
"162","212","41112",4146110000000000000.000000000000000,37.233569629999998,127.201950199999999,경기도 용인시 처인구 김량장동,"3380006",131.098000000000013,태성아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"163","213","53959",4146110000000000000.000000000000000,37.233561760000001,127.201465400000004,경기도 용인시 처인구 김량장동,"3380007",1294.817999999999984,용인김량장LH행복주택,,,0.000000000000000,0,0,0,0,0,0,0,0
"166","221","39621",4146110000000000000.000000000000000,37.232330879999999,127.202110399999995,경기도 용인시 처인구 김량장동,"3440009",884.350000000000023,유장아파트,,,884.350000000000023,13,1,0,0,0,0,0,0
"168","225","63850",4146110000000000000.000000000000000,37.231501410000000,127.203624300000001,경기도 용인시 처인구 김량장동,"3530005",675.043000000000006,신양아파트,,,47.609000000000002,10.5993824697011,1,0,0,0,0,0,0
"169","226","29040",4146110000000000000.000000000000000,37.232577470000003,127.208302000000003,경기도 용인시 처인구 김량장동,"390002",68.456000000000003,그린아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"172","229","19674",4146110000000000000.000000000000000,37.233273590000003,127.196259100000006,경기도 용인시 처인구 김량장동,"5020001",1620.941000000000031,김량주공2단지아파트,,,1084.686999999999898,54.3881672316162,5,9,0,0,495,505,1
"173","230","19674",4146110000000000000.000000000000000,37.233007000000001,127.196627300000003,경기도 용인시 처인구 김량장동,"5020003",233.312999999999988,김량주공3단지아파트,,,0.000000000000000,0,0,0,0,0,0,0,0
"174","231","759",4146110000000000000.000000000000000,37.233293820000000,127.197584199999994,경기도 용인시 처인구 김량장동,"5020002",196.283999999999992,삼환아파트,,,59.371000000000002,10.629469162547,2,2,0,3.8,180,180,1
"175","232","760",4146110000000000000.000000000000000,37.232324050000003,127.197580599999995,경기도 용인시 처인구 김량장동,"5030003",1477.428000000000111,신우아파트,,,279.225999999999999,22.0508673845622,2,4,0,3.57,176,258,1
"176","233","25557",4146110000000000000.000000000000000,37.239803070000001,127.201355500000005,경기도 용인시 처인구 김량장동,"5130000",184.307999999999993,그린힐아파트,,,145.539999999999992,10,1,0,0,0,0,0,0
"178","235","6741",4146110000000000000.000000000000000,37.236347950000003,127.196801199999996,경기도 용인시 처인구 김량장동,"5260000",235.586000000000013,김량장동 어울림아파트,,,990.677999999999997,77.1183637810905,8,10,7,4.1,484,554,1
"179","237","16427",4146110000000000000.000000000000000,37.234651479999997,127.207235999999995,경기도 용인시 처인구 김량장동,"840003",239.530000000000001,용인웰메이드시티337,,,236.256000000000000,5.13211093051605,1,1,2,1.1,299,81,1
